,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
413,0,4,9.0,0,0,0,1,3,0
414,0,4,9.0,0,0,0,1,3,0
415,0,5,4.0,0,1,3,3,3,2
416,0,4,1.0,0,0,0,0,1,0
417,0,6,18.0,4,3,3,4,3,0
418,0,4,9.0,0,0,0,0,1,0
419,3,4,40.0,11,12,2,3,3,2
420,0,0,0.0,0,0,0,0,3,1
421,42,8,60.0,54,85,9,3,3,3
422,23,3,50.0,32,45,5,3,2,4
423,1,5,52.0,3,6,0,2,3,2
424,0,4,5.0,0,0,0,1,2,1
425,6,5,39.0,7,13,2,4,1,3
426,0,5,7.0,1,0,0,3,1,2
427,0,3,4.0,0,0,0,0,3,0
428,0,3,4.0,0,0,0,0,3,0
429,0,3,4.0,0,0,0,0,3,0
430,0,3,4.0,0,0,0,0,3,0
431,0,6,7.0,1,0,0,0,3,3
432,0,6,7.0,1,0,0,0,3,3
433,0,6,7.0,1,0,0,0,3,3
434,0,6,7.0,1,0,0,0,3,3
435,0,5,2.0,0,0,0,0,1,0
436,0,5,2.0,0,0,0,0,1,0
437,0,5,2.0,0,0,0,0,1,0
438,0,5,2.0,0,0,0,0,1,0
439,14,1,51.0,40,30,0,0,3,0
440,14,1,51.0,40,30,0,0,3,0
441,14,1,51.0,40,30,0,0,3,0
442,14,1,51.0,40,30,0,0,3,0
443,18,9,70.0,0,0,0,0,3,0
444,18,9,70.0,0,0,0,0,3,0
445,18,9,70.0,0,0,0,0,3,0
446,18,9,70.0,0,0,0,0,3,0
447,0,5,2.0,0,0,0,1,3,0
448,0,5,2.0,0,0,0,1,3,0
449,0,5,2.0,0,0,0,1,3,0
450,0,5,2.0,0,0,0,1,3,0
451,18,7,41.0,23,21,6,4,3,3
452,7,6,38.0,11,15,4,1,1,2
453,16,5,87.0,20,35,7,4,3,4
454,15,3,61.0,12,20,5,3,3,4
455,12,6,74.0,18,24,4,3,3,2
456,0,0,58.0,9,15,3,4,0,0
457,28,7,90.0,43,75,9,4,3,2
458,20,4,74.0,23,32,5,2,3,3
459,0,5,44.0,3,4,1,0,3,2
460,0,2,11.0,0,2,0,0,1,1
461,12,4,53.0,12,25,4,2,3,4
462,0,4,48.0,13,19,1,1,3,2
463,0,6,8.0,0,0,0,0,3,2
464,0,6,8.0,0,0,0,0,3,2
465,0,6,8.0,0,0,0,0,3,2
466,14,6,37.0,13,17,4,3,3,2
467,14,6,37.0,13,17,4,3,3,2
468,14,6,37.0,13,17,4,3,3,2
469,0,2,66.0,0,0,0,0,3,1
470,0,2,66.0,0,0,0,0,3,1
471,0,2,66.0,0,0,0,0,3,1
472,0,4,22.0,1,7,1,4,3,1
473,0,4,22.0,1,7,1,4,3,1
474,0,4,22.0,1,7,1,4,3,1
475,10,0,68.0,19,16,1,4,3,2
476,10,0,68.0,19,16,1,4,3,2
477,10,0,68.0,19,16,1,4,3,2
478,0,3,6.0,0,5,0,0,3,2
479,0,3,6.0,0,5,0,0,3,2
480,0,3,6.0,0,5,0,0,3,2
481,17,2,59.0,16,22,6,3,3,2
482,17,2,59.0,16,22,6,3,3,2
483,17,2,59.0,16,22,6,3,3,2
484,0,6,5.0,0,0,0,3,3,1
485,0,6,5.0,0,0,0,3,3,1
486,0,6,5.0,0,0,0,3,3,1
487,0,5,40.0,2,10,2,1,3,2
488,0,5,40.0,2,10,2,1,3,2
489,0,5,40.0,2,10,2,1,3,2
490,0,7,1.0,0,0,0,0,2,0
